Processing complete!
Files with errors: 2707

============================================================
TIME SIGNATURE STATISTICS:
============================================================
Total distinct time signatures found: 334
Total time signature annotations: 6,784,003,598

All time signatures found (sorted by frequency):
Time signatures NOT in our mapping:
Total unmapped occurrences: 76,026,118 (1.12%)
  2/2     : 30,825,759 occurrences (  0.45%)
  6/4     : 11,546,645 occurrences (  0.17%)
  4/2     :  7,711,271 occurrences (  0.11%)
  3/2     :  4,616,055 occurrences (  0.07%)
  1/4     :  2,810,164 occurrences (  0.04%)
  8/4     :  2,502,052 occurrences (  0.04%)
  8/8     :  2,266,727 occurrences (  0.03%)
  7/4     :  2,212,175 occurrences (  0.03%)
  4/8     :  1,899,480 occurrences (  0.03%)
  5/8     :  1,254,795 occurrences (  0.02%)
  2/1     :    760,310 occurrences (  0.01%)
  1/8     :    687,076 occurrences (  0.01%)
  16/16   :    578,725 occurrences (  0.01%)
  3/1     :    527,086 occurrences (  0.01%)
  12/16   :    381,519 occurrences (  0.01%)
  9/4     :    351,688 occurrences (  0.01%)
  12/4    :    305,343 occurrences (  0.00%)
  31/1    :    262,313 occurrences (  0.00%)
  1/2     :    246,192 occurrences (  0.00%)
  16/4    :    221,688 occurrences (  0.00%)
  6/2     :    203,204 occurrences (  0.00%)
  1/1     :    200,253 occurrences (  0.00%)
  15/8    :    187,980 occurrences (  0.00%)
  7/16    :    177,499 occurrences (  0.00%)
  2/8     :    165,956 occurrences (  0.00%)
  13/8    :    152,604 occurrences (  0.00%)
  132/4   :    150,600 occurrences (  0.00%)
  6/16    :    150,398 occurrences (  0.00%)
  9/16    :    148,218 occurrences (  0.00%)
  1/16    :    140,102 occurrences (  0.00%)
  4/16    :    120,418 occurrences (  0.00%)
  10/4    :    115,838 occurrences (  0.00%)
  4/1     :    110,919 occurrences (  0.00%)
  6/1     :    106,536 occurrences (  0.00%)
  13/16   :     88,146 occurrences (  0.00%)
  15/16   :     70,037 occurrences (  0.00%)
  11/16   :     67,783 occurrences (  0.00%)
  5/2     :     65,787 occurrences (  0.00%)
  11/4    :     63,027 occurrences (  0.00%)
  3/16    :     62,661 occurrences (  0.00%)
  17/16   :     54,724 occurrences (  0.00%)
  16/8    :     47,156 occurrences (  0.00%)
  18/8    :     44,752 occurrences (  0.00%)
  5/16    :     40,078 occurrences (  0.00%)
  8/2     :     39,989 occurrences (  0.00%)
  14/8    :     38,794 occurrences (  0.00%)
  17/8    :     37,581 occurrences (  0.00%)
  18/4    :     37,374 occurrences (  0.00%)
  137/32  :     36,345 occurrences (  0.00%)
  32/4    :     36,319 occurrences (  0.00%)
  8/16    :     35,547 occurrences (  0.00%)
  14/4    :     34,921 occurrences (  0.00%)
  18/16   :     33,138 occurrences (  0.00%)
  10/16   :     31,816 occurrences (  0.00%)
  2/64    :     31,129 occurrences (  0.00%)
  19/16   :     30,705 occurrences (  0.00%)
  15/4    :     27,457 occurrences (  0.00%)
  59/4    :     27,252 occurrences (  0.00%)
  24/16   :     27,226 occurrences (  0.00%)
  13/4    :     24,919 occurrences (  0.00%)
  14/16   :     24,319 occurrences (  0.00%)
  14/32   :     24,173 occurrences (  0.00%)
  32/32   :     23,903 occurrences (  0.00%)
  21/16   :     22,708 occurrences (  0.00%)
  24/4    :     22,480 occurrences (  0.00%)
  7/2     :     21,641 occurrences (  0.00%)
  23/16   :     20,045 occurrences (  0.00%)
  30/1    :     19,676 occurrences (  0.00%)
  10/2    :     19,029 occurrences (  0.00%)
  27/16   :     18,809 occurrences (  0.00%)
  64/128  :     18,665 occurrences (  0.00%)
  73/4    :     18,604 occurrences (  0.00%)
  19/8    :     18,021 occurrences (  0.00%)
  17/4    :     17,417 occurrences (  0.00%)
  2/16    :     17,259 occurrences (  0.00%)
  149/4   :     15,063 occurrences (  0.00%)
  174/32  :     14,202 occurrences (  0.00%)
  12/2    :     13,843 occurrences (  0.00%)
  20/16   :     12,708 occurrences (  0.00%)
  16/32   :     12,528 occurrences (  0.00%)
  20/4    :     12,037 occurrences (  0.00%)
  27/32   :     11,895 occurrences (  0.00%)
  20/8    :     11,697 occurrences (  0.00%)
  13/32   :     11,204 occurrences (  0.00%)
  99/32   :     10,553 occurrences (  0.00%)
  8/1     :     10,505 occurrences (  0.00%)
  47/8    :     10,186 occurrences (  0.00%)
  1/32    :      9,982 occurrences (  0.00%)
  252/8   :      9,622 occurrences (  0.00%)
  21/8    :      8,613 occurrences (  0.00%)
  12/32   :      7,928 occurrences (  0.00%)
  24/8    :      7,582 occurrences (  0.00%)
  4/64    :      7,421 occurrences (  0.00%)
  35/32   :      7,309 occurrences (  0.00%)
  17/32   :      6,969 occurrences (  0.00%)
  32/8    :      6,668 occurrences (  0.00%)
  5/1     :      6,647 occurrences (  0.00%)
  4/32    :      6,511 occurrences (  0.00%)
  8/64    :      6,385 occurrences (  0.00%)
  131/4   :      5,919 occurrences (  0.00%)
  25/32   :      5,837 occurrences (  0.00%)
  25/4    :      5,685 occurrences (  0.00%)
  21/32   :      5,603 occurrences (  0.00%)
  19/4    :      5,488 occurrences (  0.00%)
  19/32   :      5,441 occurrences (  0.00%)
  21/4    :      5,238 occurrences (  0.00%)
  44/32   :      5,210 occurrences (  0.00%)
  22/4    :      4,822 occurrences (  0.00%)
  33/32   :      4,782 occurrences (  0.00%)
  25/16   :      4,754 occurrences (  0.00%)
  31/8    :      4,705 occurrences (  0.00%)
  48/16   :      4,533 occurrences (  0.00%)
  23/8    :      4,166 occurrences (  0.00%)
  35/4    :      4,015 occurrences (  0.00%)
  22/16   :      3,849 occurrences (  0.00%)
  48/32   :      3,776 occurrences (  0.00%)
  29/32   :      3,693 occurrences (  0.00%)
  9/2     :      3,565 occurrences (  0.00%)
  37/32   :      3,502 occurrences (  0.00%)
  20/1    :      3,444 occurrences (  0.00%)
  30/16   :      3,358 occurrences (  0.00%)
  3/32    :      3,321 occurrences (  0.00%)
  16/2    :      3,292 occurrences (  0.00%)
  68/4    :      3,272 occurrences (  0.00%)
  28/4    :      3,225 occurrences (  0.00%)
  23/4    :      3,120 occurrences (  0.00%)
  27/8    :      3,094 occurrences (  0.00%)
  7/1     :      3,031 occurrences (  0.00%)
  27/4    :      2,935 occurrences (  0.00%)
  27/1    :      2,863 occurrences (  0.00%)
  29/16   :      2,850 occurrences (  0.00%)
  9/32    :      2,759 occurrences (  0.00%)
  25/8    :      2,633 occurrences (  0.00%)
  140/8   :      2,572 occurrences (  0.00%)
  16/64   :      2,560 occurrences (  0.00%)
  9/1     :      2,521 occurrences (  0.00%)
  31/32   :      2,402 occurrences (  0.00%)
  31/16   :      2,368 occurrences (  0.00%)
  11/2    :      2,259 occurrences (  0.00%)
  93/32   :      2,233 occurrences (  0.00%)
  26/4    :      2,214 occurrences (  0.00%)
  22/8    :      2,178 occurrences (  0.00%)
  31/4    :      2,080 occurrences (  0.00%)
  18/2    :      2,077 occurrences (  0.00%)
  51/32   :      2,009 occurrences (  0.00%)
  29/8    :      1,994 occurrences (  0.00%)
  15/32   :      1,967 occurrences (  0.00%)
  10/1    :      1,953 occurrences (  0.00%)
  121/8   :      1,938 occurrences (  0.00%)
  29/4    :      1,825 occurrences (  0.00%)
  86/32   :      1,746 occurrences (  0.00%)
  4/128   :      1,631 occurrences (  0.00%)
  38/4    :      1,613 occurrences (  0.00%)
  14/2    :      1,584 occurrences (  0.00%)
  26/1    :      1,572 occurrences (  0.00%)
  45/16   :      1,549 occurrences (  0.00%)
  134/8   :      1,538 occurrences (  0.00%)
  30/32   :      1,484 occurrences (  0.00%)
  45/8    :      1,459 occurrences (  0.00%)
  13/1    :      1,455 occurrences (  0.00%)
  11/32   :      1,431 occurrences (  0.00%)
  12/1    :      1,329 occurrences (  0.00%)
  32/16   :      1,318 occurrences (  0.00%)
  22/1    :      1,307 occurrences (  0.00%)
  18/1    :      1,239 occurrences (  0.00%)
  15/1    :      1,232 occurrences (  0.00%)
  24/32   :      1,218 occurrences (  0.00%)
  57/32   :      1,215 occurrences (  0.00%)
  120/4   :      1,204 occurrences (  0.00%)
  19/1    :      1,200 occurrences (  0.00%)
  24/2    :      1,134 occurrences (  0.00%)
  30/4    :      1,104 occurrences (  0.00%)
  37/8    :      1,098 occurrences (  0.00%)
  133/4   :      1,014 occurrences (  0.00%)
  34/4    :        976 occurrences (  0.00%)
  23/32   :        975 occurrences (  0.00%)
  38/32   :        969 occurrences (  0.00%)
  39/16   :        925 occurrences (  0.00%)
  14/1    :        908 occurrences (  0.00%)
  29/1    :        883 occurrences (  0.00%)
  26/16   :        875 occurrences (  0.00%)
  96/4    :        840 occurrences (  0.00%)
  33/8    :        837 occurrences (  0.00%)
  26/8    :        803 occurrences (  0.00%)
  135/4   :        780 occurrences (  0.00%)
  28/1    :        760 occurrences (  0.00%)
  28/16   :        749 occurrences (  0.00%)
  51/16   :        740 occurrences (  0.00%)
  21/2    :        738 occurrences (  0.00%)
  16/1    :        712 occurrences (  0.00%)
  41/8    :        703 occurrences (  0.00%)
  64/4    :        647 occurrences (  0.00%)
  76/32   :        643 occurrences (  0.00%)
  11/1    :        629 occurrences (  0.00%)
  25/1    :        605 occurrences (  0.00%)
  17/1    :        580 occurrences (  0.00%)
  22/2    :        575 occurrences (  0.00%)
  36/32   :        572 occurrences (  0.00%)
  54/4    :        569 occurrences (  0.00%)
  43/32   :        551 occurrences (  0.00%)
  33/16   :        533 occurrences (  0.00%)
  20/32   :        524 occurrences (  0.00%)
  67/16   :        514 occurrences (  0.00%)
  24/1    :        502 occurrences (  0.00%)
  40/2    :        500 occurrences (  0.00%)
  13/2    :        492 occurrences (  0.00%)
  40/4    :        483 occurrences (  0.00%)
  37/4    :        468 occurrences (  0.00%)
  49/16   :        457 occurrences (  0.00%)
  41/32   :        448 occurrences (  0.00%)
  28/8    :        446 occurrences (  0.00%)
  48/8    :        442 occurrences (  0.00%)
  130/4   :        439 occurrences (  0.00%)
  72/4    :        417 occurrences (  0.00%)
